Name,NRC5,NRC95
Stanford University,1,2
University of California-Berkeley,1,2
Massachusetts Institute of Technology,3,5
Carnegie Mellon University,3,10
University of Illinois at Urbana-Champaign,3,18
Princeton University,4,14
Cornell University,5,17
University of California-Santa Barbara,5,17
University of North Carolina at Chapel Hill,5,17
University of California-Los Angeles,5,29
University of Texas at Austin,6,22
Georgia Institute of Technology,6,28
Michigan State University,6,28
University of Maryland College Park,7,25
University of California-San Diego,8,27
University of Michigan-Ann Arbor,8,27
University of Southern California,8,30
University of Pennsylvania,9,26
University of Massachusetts Amherst,9,36
University of Wisconsin-Madison,10,27
Harvard University,10,35
University of Rochester,11,34
University of Washington,14,34
Purdue University Main Campus,15,43
Duke University,16,35
New York University,16,45
Tufts University,16,89
State University of New York at Stony Brook,17,38
Louisiana State University and Agricultural and Mechanical College,17,39
University of California-Riverside,17,55
Penn State University,18,51
University of Minnesota-Twin Cities,19,46
Brown University,21,47
Rice University,22,44
University of California-Irvine,22,47
Ohio State University Main Campus,22,51
Yale University,23,47
Arizona State University,25,60
University of Nebraska - Lincoln,26,57
Columbia University In The City of New York,26,59
University of Connecticut,27,83
University of California-Davis,29,57
State University of New York at Buffalo,29,59
Texas A & M University,29,60
University of Oklahoma Norman Campus,31,75
University of Pittsburgh Pittsburgh Campus,32,61
University of Utah,33,58
University of California-Santa Cruz,33,63
Indiana University at Bloomington,34,62
University of Virginia,35,65
University of South Florida,35,70
University of Arizona,35,71
Virginia Polytechnic Institute and State University,37,70
University of Chicago,37,72
Washington University In St. Louis,38,74
Georgia State University,38,91
North Carolina State University,42,78
University of Tennessee,45,82
Johns Hopkins University,46,83
Vanderbilt University,46,83
Florida Institute of Technology,46,110
University of Colorado at Boulder,47,84
Lehigh University,47,89
University of Central Florida,47,90
University of Kentucky,47,93
Florida State University,48,87
Oklahoma State University Main Campus,48,96
Washington State University,48,97
Iowa State University,49,87
Northwestern University,49,88
Dartmouth College,49,92
Boston University,50,94
University of Georgia,51,101
Rutgers The State University of New Jersey New Brunswick Campus,52,87
University of Maryland Baltimore County,52,97
California Institute of Technology,53,88
University of Delaware,53,94
University of Texas at Dallas,53,112
University of Cincinnati Main Campus,54,94
Kent State University Main Campus,55,94
Oregon State University,56,93
University of Iowa,56,100
Rensselaer Polytechnic Institute,57,102
University of Florida,59,106
Northeastern University,60,99
Illinois Institute of Technology,61,102
Auburn University,61,117
Wayne State University,63,98
University of Oregon,65,96
Wright State University Main Campus,66,111
University of Illinois at Chicago,67,104
Brandeis University,67,110
North Dakota State University Main Campus,71,103
City University of New York Grad. Center,71,110
State University of New York at Binghamton,72,107
University of North Carolina at Charlotte,72,110
Case Western Reserve University,78,116
University of New Mexico Main Campus,79,111
Syracuse University Main Campus,81,113
New Mexico State University Main Campus,81,115
New Jersey Institute of Technology,81,116
University of South Carolina Columbia,82,112
College of William and Mary,83,110
Florida International University,84,126
George Washington University,86,117
Old Dominion University,86,118
Texas Tech University,89,118
University of Kansas,89,118
University of Arkansas Main Campus,90,119
University of Alabama,91,115
Mississippi State University,92,119
University of Houston,94,118
University of North Texas,95,120
Clemson University,98,123
State University of New York at Albany,101,121
Brigham Young University,103,124
Kansas State University,104,122
University of Alabama In Huntsville,104,125
University of Memphis,105,125
Temple University,108,123
University of Louisiana at Lafayette,108,123
University of Alabama at Birmingham,110,124
Oregon Health and Science University,110,125
Western Michigan University,112,125
Southern Methodist University,114,125
University of Southern Mississippi,125,127
